subject_id,age,gender,mom_edu,language,music_training,sheet_music,h_c_pre,h_c_post,anxiety,lag_task1,pc_baseline_task1,pc_post1_task1,pc_pre2_task1,pc_post2_task1,pc_final_task1,sdl_baseline_task1,sdl_post1_task1,sdl_pre2_task1,sdl_post2_task1,sdl_final_task1,sda_baseline_task1,sda_post1_task1,sda_pre2_task1,sda_post2_task1,sda_final_task1
78,31,0,12,81,other_instrument,cannot_read,60,51.5,7.75,5,24,55,53,47,75,553,313,406,380,240,8,7,5,5,7
79,20,0,14,60,NA,NA,85.5,95.5,1.5,1,67,98,98,78,100,145,129,108,96,47,6,4,5,5,5
80,18,0,14,79,NA,NA,61,70,5.25,1,63,39,80,100,57,335,212,225,135,257,7,6,5,3,5
81,20,1,16,85,NA,NA,80,92.5,5,1,41,63,100,47,51,46,34,28,35,36,4,7,5,5,6
82,18,0,15,73,NA,NA,70,100,4.25,1,76,73,100,53,84,96,41,63,65,41,3,5,4,3,4
83,17,0,18,100,other_instrument,can_read,80,80,8.25,0,100,100,100,67,100,51,40,33,78,65,7,7,5,7,7
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,71,76,78,92,322,71,92,84,44,17,15,17,10,9
85,21,0,8,93,other_instrument,cannot_read,85,84.5,6,0,65,76,73,78,100,193,134,200,63,89,4,4,4,5,3
86,21,1,12,82,NA,NA,95.5,100,4.25,10,75,51,55,65,59,418,283,338,269,328,8,6,6,9,6
87,18,0,12,60,NA,NA,85,70,7.25,0,41,100,73,39,71,128,60,84,97,68,5,4,6,6,4
88,19,0,16,NA,other_instrument,cannot_read,50,70.5,7,1,53,75,67,82,88,115,44,38,37,49,7,7,5,5,5
89,19,1,12,93,other_instrument,cannot_read,100,87.5,5.5,10,63,63,61,71,75,333,176,210,152,112,6,7,3,4,5
90,22,0,14,40,other_instrument,can_read,100,100,6.75,10,100,78,47,98,100,52,27,44,36,39,3,5,5,5,3
91,17,1,14,88,other_instrument,can_read,75,84,6.5,1,49,67,59,47,100,319,103,42,70,67,11,9,8,14,9
92,17,0,16,45,other_instrument,cannot_read,88.5,93,2.75,15,100,61,100,100,100,46,45,23,53,25,9,7,4,4,5
93,20,1,16,11,NA,NA,65,81.5,3.75,15,27,55,37,88,80,495,220,187,184,103,11,9,7,5,5
94,18,1,18,100,piano,cannot_read,80,90,3.75,10,100,82,69,71,71,64,72,51,38,46,5,8,6,6,6
95,19,0,12,35,NA,NA,71,95,4.5,1,60,100,82,82,75,243,82,80,65,37,8,6,5,4,6
96,20,0,5,91,NA,NA,82.5,91.5,5.5,5,35,84,100,100,86,358,122,69,60,61,17,7,9,6,7
97,18,0,12,78,NA,NA,45,73.5,9,15,100,61,100,100,82,306,198,88,115,82,8,6,4,4,5
98,20,1,14,NA,other_instrument,cannot_read,78.5,73,5.25,5,27,65,25,47,53,538,281,545,90,87,25,14,15,8,10
99,19,0,16,100,other_instrument,cannot_read,60,55.5,6.75,10,92,98,80,76,80,60,108,71,100,71,4,6,6,3,6
100,19,0,14,54,other_instrument,cannot_read,84,86.5,3.75,10,35,67,55,29,67,637,348,290,324,226,10,7,7,7,7
